dataset,correct,total,skipped,accuracy,tok_per_sec
grammar,76,100,0,76.0,12.446255151455295
creative_writing,97,120,0,80.83,15.267700006837092
data_analysis_mcq,134,135,0,99.26,15.227993572431993
coding_mcq,90,110,0,81.82,15.225470296772952
elementary_math,99,100,0,99.0,13.719568315647315
hs_math,70,100,0,70.0,13.366245301331919
tinyARC,94,100,0,94.0,14.545955361512988
tinyMMLU,83,100,0,83.0,14.976667399636014
commonsenseqa,90,100,0,90.0,15.222224758801273
logiqa,58,100,0,58.0,16.84657798107496
